Table 1.1.4. Price Indexes for Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[Index numbers, 2017=100]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: August 29, 2024 - Next Release Date September 26, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,        Gross domestic product,59.307,61.303,62.701,64.189,65.557,66.933,68.156,69.337,70.102,71.084,72.709,74.385,75.5,77.012,79.069,81.537,84.074,86.352,87.977,88.557,89.618,91.466,93.176,94.786,96.436,97.277,98.208,100,102.29,104.008,105.407,110.22,117.996
2,Personal consumption expenditures,59.775,61.774,63.42,65,66.356,67.754,69.203,70.407,70.967,72.001,73.822,75.302,76.291,77.894,79.827,82.127,84.44,86.607,89.17,88.921,90.514,92.804,94.534,95.781,97.121,97.299,98.284,100,102.047,103.513,104.635,109.001,116.043
3,    Goods,86.532,88.647,89.717,90.496,91.417,92.271,93.285,93.177,91.777,92.258,94.089,94.018,93.122,93.003,94.311,96.203,97.494,98.576,101.524,99.084,100.533,104.325,105.62,105.049,104.542,101.35,99.71,100,100.811,100.427,99.646,104.572,113.548
4,        Durable goods,147.232,149.39,150.422,151.903,154.876,156.006,154.431,151.059,146.79,142.835,140.293,137.545,134.074,129.173,126.647,125.332,123.187,120.564,118.304,116.081,113.946,113.023,111.595,109.551,106.771,104.617,102.337,100,98.633,97.679,96.782,102.112,108.621
5,        Nondurable goods,64.898,66.793,67.764,68.314,68.679,69.396,70.968,71.709,71.182,72.951,76.084,76.893,76.898,78.488,81.206,84.319,86.946,89.505,94.506,92,94.791,100.417,102.831,102.895,103.409,99.735,98.405,100,101.935,101.853,101.137,105.826,116.245
6,    Services,49.029,50.946,52.758,54.582,56.066,57.632,59.214,60.883,62.172,63.409,65.21,67.292,69.033,71.336,73.528,75.998,78.75,81.388,83.783,84.432,86.077,87.742,89.648,91.659,93.795,95.462,97.629,100,102.626,104.972,107.054,111.103,117.066
7,Gross private domestic investment,77.978,79.3,79.3,80.24,81.437,82.748,82.7,82.748,82.14,82.218,83.296,84.006,84.281,84.973,87.455,90.993,94.194,95.615,96.4,95.297,93.688,94.598,95.797,96.678,98.331,98.728,98.549,100,101.539,102.966,104.19,107.75,116.056
8,    Fixed investment,76.565,77.906,77.949,78.886,80.099,81.43,81.498,81.64,81.196,81.333,82.486,83.206,83.453,84.183,86.642,90.223,93.428,94.857,95.658,94.494,93.026,93.991,95.241,96.16,97.922,98.582,98.55,100,101.568,103.014,104.292,108.162,116.754
9,        Nonresidential,91.867,93.606,93.3,93.5,94.238,95.176,94.599,94.07,92.594,91.666,92.068,91.698,91.219,90.517,91.409,93.78,96.066,97.621,99.131,98.488,96.695,97.756,99.13,99.229,100.17,100.345,99.38,100,100.427,101.457,102.092,103.458,109.624
10,            Structures,37.222,37.896,37.905,39.016,40.394,42.143,43.214,44.864,46.915,48.357,50.252,52.884,55.089,57.057,61.282,68.841,77.037,81.581,85.751,84.186,83.502,86.244,90.209,91.474,96.213,97.719,97.668,100,101.174,105.258,106.811,110.459,126.692
11,            Equipment,139.212,141.57,141.355,139.703,139.454,137.927,134.799,131.083,125.201,120.368,117.751,114.281,111.883,108.99,108.078,107.827,106.758,106.377,105.708,106.354,102.543,102.518,103.088,102.857,102.124,101.498,100.206,100,99.921,99.98,99.502,100.066,106.238
12,            Intellectual property products,88.404,90.535,89.634,90.261,90.732,93.406,93.818,94.326,93.868,95.383,98.1,97.969,96.657,95.926,95.613,96.232,97.372,98.571,100.125,98.877,98.593,99.807,100.292,99.948,100.326,100.626,99.453,100,100.582,100.882,102.208,103.235,104.977
13,        Residential,45.597,46.19,46.759,48.663,50.424,52.227,53.348,54.634,56.075,58.176,60.758,63.642,65.218,68.308,73.102,78.338,82.914,84.01,82.828,79.93,79.643,80.236,81.006,85.095,89.986,92.454,95.699,100,105.64,108.656,112.28,124.606,141.785
14,    Change in private inventories,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
15,Net exports of goods and services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
16,    Exports,83.048,83.974,83.566,83.704,84.676,86.569,85.419,83.914,81.927,81.311,82.873,82.223,81.507,82.8,85.818,88.784,91.604,95.059,99.387,93.484,97.378,103.508,104.298,104.457,104.515,99.455,97.457,100,103.325,102.814,100.247,111.801,122.767
17,        Goods,95.371,95.327,93.841,93.369,94.436,96.677,94.226,91.613,88.725,87.509,89.024,88.502,87.581,88.405,91.512,94.418,97.332,101.139,106.345,98.82,103.284,110.868,111.092,110.344,109.207,101.423,97.467,100,103.545,101.851,97.87,111.693,124.796
18,        Services,60.061,62.625,64.097,65.3,66.092,67.336,68.663,69.359,69.215,69.819,71.501,70.578,70.264,72.493,75.363,78.479,81.141,83.933,86.595,83.622,86.495,89.957,91.79,93.61,95.88,95.849,97.44,100,102.91,104.649,104.917,111.584,117.948
19,    Imports,88.575,87.837,87.907,87.234,88.053,90.466,88.889,85.8,81.18,81.664,85.236,83.031,82.042,84.523,88.553,93.764,97.393,100.794,110.783,98.534,104.107,112.04,112.359,110.894,110.067,101.283,97.825,100,102.662,100.987,98.87,106.025,113.623
